marker	weight	apply
RAcromion	10	true
LAcromion	10	true
C7	10	true
MAN	10	true
RHumerus	1	true
REpicondyleLat	10	true
RStyloidRadius	10	true
RStyloidUlna	10	true
LHumerus	1	true
LEpicondyleLat	10	true
LStyloidRadius	10	true
LStyloidUlna	10	true
RASI	10	true
LASI	10	true
RPSI	10	true
LPSI	10	true
RFemur	1	true
RCondyleLat	10	true
RFibula	1	true
RMalleoleFib	20	true
RMalleoleTib	20	true
RCalcaneus	20	true
RMT1	20	true
RMT5	20	true
LFemur	1	true
LCondyleLat	10	true
LFibula	1	true
LMalleoleFib	20	true
LMalleoleTib	20	true
LCalcaneus	20	true
LMT1	20	true
LMT5	20	true
